year,state,ObesityPercent,NoLeisureActivityPercent
2012,Alabama,23.74,47.27
2011,Alabama,26.58,16.69
2012,Alabama,35.53,16.67
2011,Alabama,35.73,10.41
2011,Alabama,28.59,45.41
2012,Alabama,21.87,45.87
2012,Alabama,41.15,42.59
2012,Alabama,43.53,20.35
2011,Alabama,42.4,47.78
2011,Alabama,34.61,11.07
2011,Alabama,29.99,22.06
2011,Alabama,28.31,13.26
2011,Alabama,43.27,24.42
2012,Alabama,20.61,11.57
2012,Alabama,44.62,29.39
2012,Alabama,25.47,47.53
2012,Alabama,44.21,22.23
2012,Alabama,22.84,14.78
2011,Alabama,44.44,21.96
2012,Alabama,20.23,25.16
2012,Alabama,41.33,24.05
2011,Alabama,43.61,35.86
2012,Alabama,21.22,35.29
2011,Alabama,37.21,11.21
2012,Alabama,32.23,16.7
2012,Alabama,37.15,36.55
2011,Alabama,26.15,27.88
2011,Alabama,37.77,48.51
2012,Alabama,29.1,13.19
2011,Alabama,34.52,30.03
2011,Alabama,27.38,13.51
2012,Alabama,23.98,32.59
2011,Alabama,23.02,13.55
2012,Alabama,37.42,36.43
2011,Alabama,44.66,13.28
2012,Alabama,25.47,25.45
2012,Alabama,36.9,29.89
2012,Alabama,40.99,20.88
2011,Alabama,40.33,28.4
2011,Alabama,41.26,49.08
2012,Alabama,20.44,36.06
2012,Alabama,39.47,31.17
2012,Alabama,23.82,47.46
2012,Alabama,41.51,11.05
2011,Alabama,39.29,41.89
2012,Alabama,43.11,36.86
2012,Alabama,36.59,45.06
2012,Alabama,32.72,37.35
2011,Alabama,42.18,49.22
2011,Alabama,25.19,40.03
2011,Alabama,36.34,15.28
2011,Alabama,37.89,37.5
2011,Alabama,41.21,38.49
2011,Alabama,22.16,12.59
2012,Alabama,40.93,19.99
2011,Alabama,27.68,15.29
2011,Alabama,22.32,22.74
2012,Alabama,34.48,42.37
2012,Alabama,36.41,13.83
2011,Alabama,27.1,35.58
2011,Alabama,42.92,13.98
2011,Alabama,43.02,46.95
2011,Alabama,29.64,21.32
2011,Alabama,23.58,16.66
2012,Alabama,44.95,36.32
2011,Alabama,44.23,31.22
2011,Alabama,24.88,39.95
2011,Alabama,37.06,28.55
2012,Alabama,23.37,21.58
2012,Alabama,25.53,13.45
2012,Alabama,42.24,41.06
2012,Alabama,44.96,12.12
2012,Alabama,23.61,32.36
2011,Alabama,22.99,13.03
2012,Alabama,30.16,22.31
2011,Alabama,21.47,10.31
2012,Alabama,42.37,23.84
2011,Alabama,26.95,10.04
2011,Alabama,20.77,11.63
2012,Alabama,28.43,48.07
2012,Alabama,37.74,36.59
2011,Alabama,27.66,24.7
2012,Alabama,23.89,11.98
2012,Alabama,22.86,35.38
2012,Alabama,26.5,27.76
2012,Alabama,39.67,18.81
2012,Alabama,25.26,26.63
2011,Alabama,22.44,15.78
2012,Alabama,36.02,10.24
2012,Alabama,30.75,34.79
2011,Alabama,29.38,28.88
2011,Alabama,42.6,29.94
2012,Alabama,26.21,21.35
2012,Alabama,26.54,20.64
2011,Alabama,30.9,26.72
2011,Alabama,23.06,31.45
2011,Alabama,37.88,25.65
2012,Alabama,30.48,31.4
2011,Alabama,40.07,23.5
2011,Alabama,43.83,10.04
2011,Alabama,41.41,42.64
2012,Alabama,25.13,47.1
2011,Alabama,30.93,38.74
2011,Alabama,26.14,33.23
2011,Alabama,27.37,38.84
2011,Alabama,31.57,18.47
2011,Alabama,32.43,22.57
2011,Alabama,35.12,25.83
2012,Alabama,41.75,41.18
